"compte_no","compte_libelle","compte_type","compte_total"
"1080","Compte courant","1","1000"
"1081","Part sociale cse pop","1","1000"
"1114","Petite caisse","1","1000"
"1200","Comptes à recevoir","1","1200"
"1210","Subvention à recevoir","1","1200"
"1240","TPS payée","1","1200"
"1250","TPS perçue","1","1200"
"1260","TVQ payée","1","1200"
"1270","TVQ perçue","1","1200"
"1300","Stocks","1","1300"
"1400","Placement - FQP (fondation québec philan","1","1410"
"1410","Desjardins - ET1 Avantage entreprise","1","1000"
"1411","Desjardins - ET2 Avantage entreprise","1","1000"
"1412","Fondation du Grand Montréal","1","1420"
"1420","Dépôt à terme","1","1000"
"1440","Instrument de musique","1","1450"
"1450","Documentation spécialisée","1","1460"
"1460","Bandes maîtresse","1","1460"
"1490","Oeuvres d'art","1","1490"
"1500","Équipement de production","1","1500"
"1505","Amort. Cum. Équip. production","1","1500"
"1520","Équipement informatique","1","1520"
"1525","Amort. Cum. Équip. Informatique","1","1520"
"2100","Marge de crédit","2","2100"
"2101","Prêt à terme aux entreprises","2","2100"
"2102","Visa Marge Crédit 5003","2","2200"
"2107","Visa à payer *6001","2","2200"
"2150","Comptes à payer","2","2200"
"2250","Salaires à payer","2","2200"
"2260","Vacances à payer","2","2200"
"2300","DAS fédéral à payer","2","2200"
"2350","DAS provincial à payer","2","2200"
"2355","Frais courus à payer","2","2200"
"2360","Intérêts courus à payer","2","2200"
"2370","Guilde à payer (DAS)","2","2200"
"2381","UDA à payer","2","2200"
"2385","AFM-EPW à payer (Pension)","2","2200"
"2499","Apports reportés PMPC - Ptn court terme","2","2499"
"2560","Dons dédiés au programme","2","2555"
"2570","Placement Fonds Dotation 10 ans","2","2510"
"2572","Placement Fonds Réserve 2 ans","2","2555"
"2574","Placement 3 Fondation du Grand Qc","2","1420"
"2576","Fondation Grand Montréal","2","1420"
"2699","Apports reportés PMPC-Ptn court terme","2","2699"
"2900","Avance C. Bernatchez","2","2900"
"2920","Avance Proche administrateur","2","2920"
"3999","Actif sur le passif","2","0"
"4020","Revenus de cachet","4","410"
"4040","Revenus de guichet","4","410"
"4050","Revenus de coproduction","4","410"
"4055","Revenus de codiffusion","4","410"
"4105","Cotisations des membres","4","425"
"4120","Location de bureau","4","420"
"4128","Location de services","4","420"
"4205","Dons","4","450"
"4210","Contributions volontaires","4","450"
"4250","Apport reçu sous forme de services","4","430"
"4280","PMPC - intérêts et variation","4","460"
"4290","Intérêts et variation placements","4","483"
"4300","Revenus d intérêts","4","485"
"4350","Intérêts - Fondation Québec Philanthrope","4","480"
"4400","Revenus Placements Cultures","4","400"
"4590","Autres subventions","4","405"
"4900","Revenus divers","4","490"
"5015","Salaires - Directeur artistique","5","1"
"5105","Salaire - Direction musicale","5","1"
"5107","Salaire - Musicothécaire/copiste","5","1"
"5110","Cachets forfaitaires","5","2"
"5115","Honoraires - Cachets UDA","5","2"
"5116","Honoraires - Cachets Guilde","5","2"
"5117","Remises UDA","5","1"
"5119","Remises AFM - EPW","5","1"
"5120","Honoraires Artistes invités","5","2"
"5125","Honoraires - Personnel technique","5","2"
"5152","Honoraires - Conception","5","2"
"5153","Honoraires - Scénographie","5","2"
"5154","Honoraires - Costumes","5","2"
"5165","Honoraires professionnels","5","2"
"5210","Séjour","5","3"
"5220","Transport","5","3"
"5225","Frais de salle","5","3"
"5240","Droit de suite","5","3"
"5270","Droits d auteur","5","3"
"5275","Location et entretien d instrument","5","3"
"5285","Autres frais production","5","3"
"5292","Fabrication de décor","5","3"
"5294","Achat de matériel, d accessoires et de c","5","3"
"5296","Entretien équipement de production","5","3"
"5400","Frais de partenariat","5","3"
"5405","Honoraire - Relationiste","5","3"
"5410","Frais de promotion","5","5"
"5413","Publicité Internet","5","5"
"5414","Site Internet","5","6"
"5418","Affichage et distribution","5","5"
"5640","Comptabilité","5","16"
"5650","Salaires","5","8"
"5660","Vacances","5","8"
"5700","Bénéfices marginaux","5","8"
"5800","Téléphone, Internet","5","12"
"5810","Fournitures de bureau","5","13"
"5830","Poste - Messagerie","5","13"
"5840","Loyer","5","9"
"5845","Matériel & Entretien de bureau","5","13"
"5850","Assurances","5","11"
"5852","Honoraires Relevé de fonds","5","7"
"5853","Honoraires certification","5","15"
"5860","Frais bancaires","5","19"
"5863","Intérêts sur la dette à long terme","5","19"
"5864","Intérêts sur prêts personnels","5","18"
"5865","Intérêts et pénalités","5","19"
"5866","Intérêts Marge crédit","5","19"
"5870","Transport perdiem","5","10"
"5880","Frais de représentation","5","10"
"5885","Adhésion, cotisation, taxes, permis","5","14"
"5887","Formations","5","13"
"5890","Incitatif philanthropique","5","4900"
"5920","Amortissement des immobilisations","6","4"
